ev1,ev2,ev3
Bulbasaur,Ivysaur,Venusaur
Charmander,Charmeleon,Charizard
Squirtle,Wartortle,Blastoise
Caterpie,Metapod,Butterfree
Weedle,Kakuna,Beedrill
Pidgey,Pidgeotto,Pidgeot
Pichu,Pikachu,Raichu
Nidoran♀,Nidorina,Nidoqueen
Nidoran♂,Nidorino,Nidoking
Cleffa,Clefairy,Clefable
Igglybuff,Jigglypuff,Wigglytuff
Zubat,Golbat,Crobat
Oddish,Gloom,Vileplume
,,Bellossom
Mankey,Primeape,Annihilape
Poliwag,Poliwhirl,Poliwrath
,,Politoed
Abra,Kadabra,Alakazam
Machop,Machoke,Machamp
Bellsprout,Weepinbell,Victreebel
Geodude,Graveler,Golem
Magnemite,Magneton,Magnezone
Gastly,Haunter,Gengar
Rhyhorn,Rhydon,Rhyperior
Happiny,Chansey,Blissey
Horsea,Seadra,Kingdra
Mime Jr.,Mr. Mime,Mr. Rime
Elekid,Electabuzz,Electivire
Magby,Magmar,Magmortar
Porygon,Porygon2,Porygon-Z
Dratini,Dragonair,Dragonite
Chikorita,Bayleef,Meganium
Cyndaquil,Quilava,Typhlosion
Totodile,Croconaw,Feraligatr
Togepi,Togetic,Togekiss
Mareep,Flaaffy,Ampharos
Azurill,Marill,Azumarill
Hoppip,Skiploom,Jumpluff
Teddiursa,Ursaring,Ursaluna
Swinub,Piloswine,Mamoswine
Larvitar,Pupitar,Tyranitar
Treecko,Grovyle,Sceptile
Torchic,Combusken,Blaziken
Mudkip,Marshtomp,Swampert
Zigzagoon,Linoone,Obstagoon
Wurmple,Silcoon,Beautifly
,Cascoon,Dustox
Lotad,Lombre,Ludicolo
Seedot,Nuzleaf,Shiftry
Ralts,Kirlia,Gardevoir
,,Gallade
Slakoth,Vigoroth,Slaking
Whismur,Loudred,Exploud
Aron,Lairon,Aggron
Budew,Roselia,Roserade
Trapinch,Vibrava,Flygon
Duskull,Dusclops,Dusknoir
Spheal,Sealeo,Walrein
Bagon,Shelgon,Salamence
Beldum,Metang,Metagross
Turtwig,Grotle,Torterra
Chimchar,Monferno,Infernape
Piplup,Prinplup,Empoleon
Starly,Staravia,Staraptor
Shinx,Luxio,Luxray
Gible,Gabite,Garchomp
Snivy,Servine,Serperior
Tepig,Pignite,Emboar
Oshawott,Dewott,Samurott
Lillipup,Herdier,Stoutland
Pidove,Tranquill,Unfezant
Roggenrola,Boldore,Gigalith
Timburr,Gurdurr,Conkeldurr
Tympole,Palpitoad,Seismitoad
Sewaddle,Swadloon,Leavanny
Venipede,Whirlipede,Scolipede
Sandile,Krokorok,Krookodile
Gothita,Gothorita,Gothitelle
Solosis,Duosion,Reuniclus
Vanillite,Vanillish,Vanilluxe
Klink,Klang,Klinklang
Tynamo,Eelektrik,Eelektross
Litwick,Lampent,Chandelure
Axew,Fraxure,Haxorus
Pawniard,Bisharp,Kingambit
Deino,Zweilous,Hydreigon
Chespin,Quilladin,Chesnaught
Fennekin,Braixen,Delphox
Froakie,Frogadier,Greninja
Fletchling,Fletchinder,Talonflame
Scatterbug,Spewpa,Vivillon
Flabébé,Floette,Florges
Honedge,Doublade,Aegislash
Goomy,Sliggoo,Goodra
Rowlet,Dartrix,Decidueye
Litten,Torracat,Incineroar
Popplio,Brionne,Primarina
Pikipek,Trumbeak,Toucannon
Grubbin,Charjabug,Vikavolt
Bounsweet,Steenee,Tsareena
Jangmo-o,Hakamo-o,Kommo-o
Cosmog,Cosmoem,Solgaleo
,,Lunala
Grookey,Thwackey,Rillaboom
Scorbunny,Raboot,Cinderace
Sobble,Drizzile,Inteleon
Rookidee,Corvisquire,Corviknight
Blipbug,Dottler,Orbeetle
Rolycoly,Carkol,Coalossal
Applin,Dipplin,Hydrapple
Hatenna,Hattrem,Hatterene
Impidimp,Morgrem,Grimmsnarl
Dreepy,Drakloak,Dragapult
Sprigatito,Floragato,Meowscarada
Fuecoco,Crocalor,Skeledirge
Quaxly,Quaxwell,Quaquaval
Pawmi,Pawmo,Pawmot
Smoliv,Dolliv,Arboliva
Nacli,Naclstack,Garganacl
Tinkatink,Tinkatuff,Tinkaton
Frigibax,Arctibax,Baxcalibur
