Pokedex Number,Pokemon,Link,HP,Attack,Defense,Speed,Special Attack,Special Defense,Stat Total
1,Bulbasaur,https://bulbapedia.bulbagarden.net/wiki/Bulbasaur,45,49,49,45,65,65,318
2,Ivysaur,https://bulbapedia.bulbagarden.net/wiki/Ivysaur,60,62,63,60,80,80,405
3,Venusaur,https://bulbapedia.bulbagarden.net/wiki/Venusaur,80,82,83,80,100,100,525
3,Venusaur Mega Venusaur,https://bulbapedia.bulbagarden.net/wiki/Venusaur_Mega_Venusaur,80,100,123,80,122,120,625
4,Charmander,https://bulbapedia.bulbagarden.net/wiki/Charmander,39,52,43,65,60,50,309
5,Charmeleon,https://bulbapedia.bulbagarden.net/wiki/Charmeleon,58,64,58,80,80,65,405
6,Charizard,https://bulbapedia.bulbagarden.net/wiki/Charizard,78,84,78,100,109,85,534
6,Charizard Mega Charizard X,https://bulbapedia.bulbagarden.net/wiki/Charizard_Mega_Charizard_X,78,130,111,100,130,85,634
6,Charizard Mega Charizard Y,https://bulbapedia.bulbagarden.net/wiki/Charizard_Mega_Charizard_Y,78,104,78,100,159,115,634
7,Squirtle,https://bulbapedia.bulbagarden.net/wiki/Squirtle,44,48,65,43,50,64,314
8,Wartortle,https://bulbapedia.bulbagarden.net/wiki/Wartortle,59,63,80,58,65,80,405
9,Blastoise,https://bulbapedia.bulbagarden.net/wiki/Blastoise,79,83,100,78,85,105,530
9,Blastoise Mega Blastoise,https://bulbapedia.bulbagarden.net/wiki/Blastoise_Mega_Blastoise,79,103,120,78,135,115,630
10,Caterpie,https://bulbapedia.bulbagarden.net/wiki/Caterpie,45,30,35,45,20,20,195
11,Metapod,https://bulbapedia.bulbagarden.net/wiki/Metapod,50,20,55,30,25,25,205
12,Butterfree,https://bulbapedia.bulbagarden.net/wiki/Butterfree,60,45,50,70,90,80,395
13,Weedle,https://bulbapedia.bulbagarden.net/wiki/Weedle,40,35,30,50,20,20,195
14,Kakuna,https://bulbapedia.bulbagarden.net/wiki/Kakuna,45,25,50,35,25,25,205
15,Beedrill,https://bulbapedia.bulbagarden.net/wiki/Beedrill,65,90,40,75,45,80,395
15,Beedrill Mega Beedrill,https://bulbapedia.bulbagarden.net/wiki/Beedrill_Mega_Beedrill,65,150,40,145,15,80,495
16,Pidgey,https://bulbapedia.bulbagarden.net/wiki/Pidgey,40,45,40,56,35,35,251
17,Pidgeotto,https://bulbapedia.bulbagarden.net/wiki/Pidgeotto,63,60,55,71,50,50,349
18,Pidgeot,https://bulbapedia.bulbagarden.net/wiki/Pidgeot,83,80,75,101,70,70,479
18,Pidgeot Mega Pidgeot,https://bulbapedia.bulbagarden.net/wiki/Pidgeot_Mega_Pidgeot,83,80,80,121,135,80,579
