Pokedex Number,Pokemon,Link,HP,Attack,Defense,Speed,Special Attack,Special Defense,Stat Total,Variation,Variation Type,Category,Type 1,Type 2,Height (m),Weight (kg),Generation,Evolution Stage,Evolves,Attack/Defense,Special Attack/Special Defense,Attack/Special Attack,Defense/Special Defense,Speed/Defense,Speed/Attack,HP/Defense,HP/Special Defense,Legendary,BMI,Dual Type,Type Count,Stat Highest,Stat Lowest,Stat Std Dev,Offensive Total,Defensive Total,Offensive/Defensive,Physical/Special,Stat Tier,Speed Tier,Is Variation,Role,HP_pct,Attack_pct,Defense_pct,Speed_pct,Special_Attack_pct,Special_Defense_pct,HP_zscore,Attack_zscore,Defense_zscore,Speed_zscore,Special_Attack_zscore,Special_Defense_zscore
1,Bulbasaur,https://bulbapedia.bulbagarden.net/wiki/Bulbasaur_(Pok%C3%A9mon),45,49,49,45,65,65,318,,,Seed Pokémon,Grass,Poison,0.7,6.9,1,1,True,1.0,1.0,0.7538461538461538,0.7538461538461538,0.9183673469387755,0.9183673469387755,0.9183673469387755,0.6923076923076923,False,14.081632653061227,True,2,Special Attack,HP,9.465727652959385,159,159,1.0,0.7538461538461538,Mid,Slow,False,Tank,0.14150943396226415,0.1540880503144654,0.1540880503144654,0.14150943396226415,0.20440251572327045,0.20440251572327045,-0.9779243207461199,-1.0170493862051375,-0.8667999580894077,-0.8328582384810148,-0.28271661103578266,-0.3026165366002961
2,Ivysaur,https://bulbapedia.bulbagarden.net/wiki/Ivysaur_(Pok%C3%A9mon),60,62,63,60,80,80,405,,,Seed Pokémon,Grass,Poison,1.0,13.0,1,2,True,0.9841269841269841,1.0,0.775,0.7875,0.9523809523809523,0.967741935483871,0.9523809523809523,0.75,False,13.0,True,2,Special Attack,HP,9.751922887307918,202,203,0.9950738916256158,0.78125,Mid,Medium,False,Tank,0.14814814814814814,0.15308641975308643,0.15555555555555556,0.14814814814814814,0.19753086419753085,0.19753086419753085,-0.42539004754220616,-0.6199323597944796,-0.4176589335039341,-0.3421208789318431,0.15837863381218728,0.23031759294900972
3,Venusaur,https://bulbapedia.bulbagarden.net/wiki/Venusaur_(Pok%C3%A9mon),80,82,83,80,100,100,525,,,Seed Pokémon,Grass,Poison,2.0,100.0,1,3,False,0.9879518072289156,1.0,0.82,0.83,0.963855421686747,0.975609756097561,0.963855421686747,0.8,False,25.0,True,2,Special Attack,HP,9.751922887307918,262,263,0.9961977186311787,0.825,High,Medium,False,Balanced,0.1523809523809524,0.15619047619047619,0.1580952380952381,0.1523809523809524,0.19047619047619047,0.19047619047619047,0.3113223167296788,-0.008983088393467377,0.22397110161817105,0.31219560046705247,0.7465056269428139,0.9408964323480842
3,Venusaur,https://bulbapedia.bulbagarden.net/wiki/Venusaur_(Pok%C3%A9mon),80,100,123,80,122,120,625,Mega Venusaur,Mega,Seed Pokémon,Grass,Poison,2.4,155.5,1,3,False,0.8130081300813008,1.0166666666666666,0.819672131147541,1.025,0.6504065040650406,0.8,0.6504065040650406,0.6666666666666666,False,26.99652777777778,True,2,Defense,HP,20.53695855443709,302,323,0.934984520123839,0.9214876033057852,Very High,Medium,True,Balanced,0.128,0.16,0.1968,0.128,0.1952,0.192,0.3113223167296788,0.5408712558674436,1.5072311718623814,0.31219560046705247,1.393445319386503,1.6514752717471586
4,Charmander,https://bulbapedia.bulbagarden.net/wiki/Charmander_(Pok%C3%A9mon),39,52,43,65,60,50,309,,,Lizard Pokémon,Fire,,0.6,8.5,1,1,True,1.2093023255813953,1.2,0.8666666666666667,0.86,1.5116279069767442,1.25,0.9069767441860465,0.78,False,23.61111111111111,False,1,Speed,HP,9.85393322486001,177,132,1.3409090909090908,0.8636363636363636,Mid,Medium,False,Special Sweeper,0.1262135922330097,0.16828478964401294,0.13915857605177995,0.21035598705501618,0.1941747572815534,0.16181229773462782,-1.1989380300276853,-0.9254069954949856,-1.0592889686260394,-0.17854175908211925,-0.4297483593184393,-0.8355506661496019
5,Charmeleon,https://bulbapedia.bulbagarden.net/wiki/Charmeleon_(Pok%C3%A9mon),58,64,58,80,80,65,405,,,Flame Pokémon,Fire,,1.1,19.0,1,2,True,1.103448275862069,1.2307692307692308,0.8,0.8923076923076924,1.3793103448275863,1.25,1.0,0.8923076923076924,False,15.702479338842974,False,1,Speed,HP,10.114346246792227,224,181,1.2375690607734806,0.8413793103448276,Mid,Medium,False,Balanced,0.14320987654320988,0.1580246913580247,0.14320987654320988,0.19753086419753085,0.19753086419753085,0.16049382716049382,-0.49906128396939464,-0.5588374326543784,-0.5780664422844604,0.31219560046705247,0.15837863381218728,-0.3026165366002961
6,Charizard,https://bulbapedia.bulbagarden.net/wiki/Charizard_(Pok%C3%A9mon),78,84,78,100,109,85,534,,,Flame Pokémon,Fire,Flying,1.7,90.5,1,3,False,1.0769230769230769,1.2823529411764707,0.7706422018348624,0.9176470588235294,1.2820512820512822,1.1904761904761905,1.0,0.9176470588235294,False,31.314878892733567,True,2,Special Attack,HP,12.680693987317888,293,241,1.2157676348547717,0.8350515463917526,High,Fast,False,Balanced,0.14606741573033707,0.15730337078651685,0.14606741573033707,0.18726591760299627,0.20411985018726592,0.15917602996254682,0.23765108030249033,0.05211183874663384,0.06356359283764475,0.966512079865948,1.0111627738515958,0.4079623027987783
6,Charizard,https://bulbapedia.bulbagarden.net/wiki/Charizard_(Pok%C3%A9mon),78,130,111,100,130,85,634,Mega Charizard X,Mega,Flame Pokémon,Fire,Dragon,1.7,110.5,1,3,False,1.1711711711711712,1.5294117647058822,1.0,1.3058823529411765,0.9009009009009009,0.7692307692307693,0.7027027027027027,0.9176470588235294,False,38.235294117647065,True,2,Attack,HP,22.078647301559634,360,274,1.313868613138686,1.1209302325581396,Very High,Fast,True,Special Sweeper,0.12302839116719243,0.20504731861198738,0.1750788643533123,0.15772870662460567,0.20504731861198738,0.13406940063091483,0.23765108030249033,1.4572951629689619,1.1222531507891182,0.966512079865948,1.6286961166387537,0.4079623027987783
6,Charizard,https://bulbapedia.bulbagarden.net/wiki/Charizard_(Pok%C3%A9mon),78,104,78,100,159,115,634,Mega Charizard Y,Mega,Flame Pokémon,Fire,Flying,1.7,100.5,1,3,False,1.3333333333333333,1.382608695652174,0.6540880503144654,0.6782608695652174,1.2820512820512822,0.9615384615384616,1.0,0.6782608695652174,False,34.775086505190316,True,2,Special Attack,HP,29.991109793848356,363,271,1.3394833948339484,0.6642335766423357,Very High,Fast,True,Special Sweeper,0.12302839116719243,0.1640378548895899,0.12302839116719243,0.15772870662460567,0.250788643533123,0.18138801261829654,0.23765108030249033,0.663061110147646,0.06356359283764475,0.966512079865948,2.481480256678162,1.47383056189739
7,Squirtle,https://bulbapedia.bulbagarden.net/wiki/Squirtle_(Pok%C3%A9mon),44,48,65,43,50,64,314,,,Tiny Turtle Pokémon,Water,,0.5,9.0,1,1,True,0.7384615384615385,0.78125,0.96,1.015625,0.6615384615384615,0.8958333333333334,0.676923076923077,0.6875,False,36.0,False,1,Defense,Speed,9.77070451229934,141,173,0.815028901734104,0.9912280701754386,Mid,Slow,False,Balanced,0.14012738853503184,0.15286624203821655,0.2070063694267516,0.13694267515923567,0.1592356687898089,0.20382165605095542,-1.0147599389597142,-1.047596849775188,-0.3534959299917236,-0.8982898864209043,-0.7238118558837526,-0.3381454785702498
